time	core_0	core_1	core_2	core_3
954	0	0	0	0
965	0	0	0	0
976	0	0	0	0
987	0	0	0	0
998	0	0	0	0
1009	1	0	0	0
1020	1	0	0	0
1031	1	0	0	0
1043	1	0	0	0
1054	1	1	0	0
1066	1	1	0	0
1077	1	1	0	0
1088	1	1	0	0
1099	1	1	0	0
1111	1	1	1	0
1122	1	1	1	0
1133	1	1	1	0
1144	1	1	1	0
1156	1	1	1	1
1167	1	1	1	1
1178	1	1	1	1
1189	1	1	1	1
1200	1	1	1	1
1211	2	1	1	1
1222	2	1	1	1
1233	2	1	1	1
1245	2	1	1	1
1256	2	1	1	1
1267	2	2	1	1
1278	2	2	1	1
1289	2	2	1	1
1300	2	2	1	1
1311	2	2	2	1
1322	2	2	2	1
1333	2	2	2	1
1344	2	2	2	1
1355	2	2	2	1
1366	2	2	2	2
1377	2	2	2	2
1388	2	2	2	2
1400	2	2	2	2
1411	3	2	2	2
1422	3	2	2	2
1433	3	2	2	2
1444	3	2	2	2
1455	3	2	2	2
1467	3	3	2	2
1478	3	3	2	2
1489	3	3	2	2
1500	3	3	2	2
1513	3	3	3	2
1524	3	3	3	2
1535	3	3	3	2
1546	3	3	3	2
1557	3	3	3	2
