time	task_A	task_B	task_C
954	0	0	0
965	0	0	0
976	0	0	0
987	0	0	0
998	0	0	0
1009	1	0	0
1020	1	0	0
1031	1	0	0
1043	1	0	0
1054	1	1	0
1066	1	1	0
1077	1	1	0
1088	1	1	0
1099	1	1	0
1111	1	1	1
1122	1	1	1
1133	1	1	1
1144	1	1	1
1156	2	1	1
1167	2	1	1
1178	2	1	1
1189	2	1	1
1200	2	1	1
1211	2	2	1
1222	2	2	1
1233	2	2	1
1245	2	2	1
1256	2	2	1
1267	2	2	2
1278	2	2	2
1289	2	2	2
1300	2	2	2
1311	3	2	2
1322	3	2	2
1333	3	2	2
1344	3	2	2
1355	3	2	2
1366	3	3	2
1377	3	3	2
1388	3	3	2
1400	3	3	2
1411	3	3	3
1422	3	3	3
1433	3	3	3
1444	3	3	3
1455	3	3	3
1467	4	3	3
1478	4	3	3
1489	4	3	3
1500	4	3	3
1513	4	4	3
1524	4	4	3
1535	4	4	3
1546	4	4	3
1557	4	4	3
